NM,range,mean_max_03,tpr,tnr
2.5,4755,0.79741,0.07709,0.07709
2.5,4765,0.79741,0.07709,0.07709
2.5,4775,0.79741,0.07709,0.07709
2.5,4785,0.79741,0.07709,0.07709
2.5,4795,0.79741,0.07709,0.07709
2.5,4805,0.79741,0.07709,0.07709
2.5,4815,0.79741,0.07709,0.07709
2.5,4825,0.79741,0.07709,0.07709
2.5,4835,0.79741,0.07709,0.07709
2.5,4845,0.79741,0.07709,0.07709
2.5,4855,0.79741,0.07709,0.07709
2.5,4865,0.79741,0.07709,0.07709
2.5,4875,0.79741,0.07709,0.07709
2.5,4885,0.79741,0.07709,0.07709
2.5,4895,0.79741,0.07709,0.07709
2.5,4905,0.79741,0.07709,0.07709
2.5,4915,0.79741,0.07709,0.07709
2.5,4925,0.79741,0.07709,0.07709
2.5,4935,0.79741,0.07709,0.07709
2.5,4945,0.79741,0.07709,0.07709
2.5,4955,0.79741,0.07709,0.07709
2.5,4965,0.79741,0.07709,0.07709
2.5,4975,0.79741,0.07709,0.07709
2.5,4985,0.79741,0.07709,0.07709
2.5,4995,0.79741,0.07709,0.07709
2.5,5005,0.79741,0.07709,0.07709
2.5,5015,0.79741,0.07709,0.07709
2.5,5025,0.79741,0.07709,0.07709
2.5,5035,0.79741,0.07709,0.07709
2.5,5045,0.79741,0.07709,0.07709
2.5,5055,0.79741,0.07709,0.07709
2.5,5065,0.79741,0.07709,0.07709
2.5,5075,0.79741,0.07709,0.07709
2.5,5085,0.79741,0.07709,0.07709
2.5,5095,0.79741,0.07709,0.07709
2.5,5105,0.79741,0.07709,0.07709
2.5,5115,0.79741,0.07709,0.07709
2.5,5125,0.79741,0.07709,0.07709
2.5,5135,0.79741,0.07709,0.07709
2.5,5145,0.79741,0.07709,0.07709
2.5,5155,0.79741,0.07709,0.07709
2.5,5165,0.79741,0.07709,0.07709
2.5,5175,0.79741,0.07709,0.07709
2.5,5185,0.79741,0.07709,0.07709
2.5,5195,0.79741,0.07709,0.07709
2.5,5205,0.79741,0.07709,0.07709
2.5,5215,0.79741,0.07709,0.07709
2.5,5225,0.79741,0.07709,0.07709
2.5,5235,0.79741,0.07709,0.07709
2.5,5245,0.79741,0.07709,0.07709
2.5,5255,0.79741,0.07709,0.07709
2.5,5265,0.79741,0.07709,0.07709
2.5,5275,0.79741,0.07709,0.07709
2.5,5285,0.79741,0.07709,0.07709
2.5,5295,0.79741,0.07709,0.07709
2.5,5305,0.79741,0.07709,0.07709
2.5,5315,0.79741,0.07709,0.07709
2.5,5325,0.79741,0.07709,0.07709
2.5,5335,0.79741,0.07709,0.07709
2.5,5345,0.79741,0.07709,0.07709
2.5,5355,0.79741,0.07709,0.07709
2.5,5365,0.79741,0.07709,0.07709
2.5,5375,0.79741,0.07709,0.07709
2.5,5385,0.79741,0.07709,0.07709
2.5,5395,0.79741,0.07709,0.07709
2.5,5405,0.79741,0.07709,0.07709
2.5,5415,0.79741,0.07709,0.07709
2.5,5425,0.79741,0.07709,0.07709
2.5,5435,0.79741,0.07709,0.07709
2.5,5445,0.79741,0.07709,0.07709
2.5,5455,0.79741,0.07709,0.07709
2.5,5465,0.79741,0.07709,0.07709
2.5,5475,0.79741,0.07709,0.07709
2.5,5485,0.79741,0.07709,0.07709
2.5,5495,0.79741,0.07709,0.07709
2.5,5505,0.79741,0.07709,0.07709
2.5,5515,0.79741,0.07709,0.07709
2.5,5525,0.79741,0.07709,0.07709
2.5,5535,0.79741,0.07709,0.07709
