range,tpr,tnr
9055,0.73802,0.73802
9065,0.73802,0.73802
9075,0.73802,0.73802
9085,0.73802,0.73802
9095,0.73802,0.73802
9105,0.73802,0.73802
9115,0.73802,0.73802
9125,0.73802,0.73802
9135,0.73802,0.73802
9145,0.73802,0.73802
9155,0.73802,0.73802
9165,0.73802,0.73802
9175,0.73802,0.73802
9185,0.73802,0.73802
9195,0.73802,0.73802
9205,0.73802,0.73802
9215,0.73802,0.73802
9225,0.73802,0.73802
9235,0.73802,0.73802
9245,0.73802,0.73802
9255,0.71379,0.71379
9265,0.71379,0.71379
9275,0.71379,0.71379
9285,0.71379,0.71379
9295,0.71379,0.71379
9305,0.71379,0.71379
9315,0.71379,0.71379
9325,0.71379,0.71379
9335,0.71379,0.71379
9345,0.71379,0.71379
9355,0.71379,0.71379
9365,0.71379,0.71379
9375,0.71379,0.71379
9385,0.71379,0.71379
9395,0.71379,0.71379
9405,0.71379,0.71379
9415,0.71379,0.71379
9425,0.71379,0.71379
9435,0.71379,0.71379
9445,0.71379,0.71379
9455,0.71379,0.71379
9465,0.71379,0.71379
9475,0.71379,0.71379
9485,0.71379,0.71379
9495,0.71379,0.71379
9505,0.71379,0.71379
9515,0.71379,0.71379
9525,0.71379,0.71379
9535,0.71379,0.71379
9545,0.71379,0.71379
9555,0.71379,0.71379
9565,0.71379,0.71379
9575,0.71379,0.71379
9585,0.71379,0.71379
9595,0.71379,0.71379
9605,0.71379,0.71379
9615,0.71379,0.71379
9625,0.71379,0.71379
9635,0.71379,0.71379
9645,0.71379,0.71379
9655,0.71379,0.71379
9665,0.71379,0.71379
9675,0.71379,0.71379
9685,0.71379,0.71379
9695,0.71379,0.71379
9705,0.71379,0.71379
9715,0.71379,0.71379
9725,0.71379,0.71379
9735,0.71379,0.71379
9745,0.71379,0.71379
9755,0.71379,0.71379
9765,0.71379,0.71379
9775,0.71379,0.71379
9785,0.71379,0.71379
9795,0.71379,0.71379
9805,0.71379,0.71379
9815,0.71379,0.71379
9825,0.71379,0.71379
9835,0.71379,0.71379
9845,0.71379,0.71379
9855,0.71379,0.71379
9865,0.71379,0.71379
9875,0.71379,0.71379
9885,0.71379,0.71379
9895,0.71379,0.71379
9905,0.71379,0.71379
9915,0.71379,0.71379
9925,0.71379,0.71379
9935,0.71379,0.71379
9945,0.71379,0.71379
9955,0.71379,0.71379
9965,0.71379,0.71379
9975,0.71379,0.71379
9985,0.71379,0.71379
9995,0.71379,0.71379
10005,0.71379,0.71379
10015,0.71379,0.71379
10025,0.71379,0.71379
10035,0.71379,0.71379
10045,0.71379,0.71379
10055,0.71379,0.71379
10065,0.71379,0.71379
10075,0.71379,0.71379
10085,0.71379,0.71379
10095,0.71379,0.71379
10105,0.71379,0.71379
10115,0.71379,0.71379
10125,0.71379,0.71379
10135,0.71379,0.71379
10145,0.71379,0.71379
10155,0.71379,0.71379
10165,0.71379,0.71379
10175,0.58062,0.58062
10185,0.58062,0.58062
10195,0.58062,0.58062
10205,0.58062,0.58062
10215,0.58062,0.58062
10225,0.58062,0.58062
10235,0.58062,0.58062
10245,0.58062,0.58062
10255,0.58062,0.58062
10265,0.58062,0.58062
10275,0.58062,0.58062
10285,0.58062,0.58062
10295,0.58062,0.58062
10305,0.58062,0.58062
10315,0.58062,0.58062
10325,0.58062,0.58062
10335,0.58062,0.58062
10345,0.58062,0.58062
10355,0.58062,0.58062
10365,0.58062,0.58062
10375,0.58062,0.58062
10385,0.58062,0.58062
10395,0.58062,0.58062
10405,0.58062,0.58062
10415,0.58062,0.58062
10425,0.58062,0.58062
10435,0.58062,0.58062
10445,0.58062,0.58062
10455,0.58062,0.58062
10465,0.58062,0.58062
10475,0.58062,0.58062
10485,0.58062,0.58062
10495,0.58062,0.58062
10505,0.58062,0.58062
10515,0.58062,0.58062
10525,0.58062,0.58062
10535,0.58062,0.58062
10545,0.58062,0.58062
10555,0.58062,0.58062
10565,0.58062,0.58062
10575,0.58062,0.58062
10585,0.58062,0.58062
10595,0.58062,0.58062
10605,0.58062,0.58062
10615,0.58062,0.58062
10625,0.58062,0.58062
10635,0.58062,0.58062
10645,0.58062,0.58062
10655,0.58062,0.58062
10665,0.58062,0.58062
10675,0.58062,0.58062
10685,0.58062,0.58062
10695,0.58062,0.58062
10705,0.58062,0.58062
10715,0.58062,0.58062
10725,0.58062,0.58062
10735,0.58062,0.58062
10745,0.58062,0.58062
10755,0.58062,0.58062
10765,0.58062,0.58062
10775,0.58062,0.58062
10785,0.58062,0.58062
10795,0.58062,0.58062
10805,0.58062,0.58062
