range,tpr,tnr
5965,0.04562,0.04562
5975,0.04562,0.04562
5985,0.04562,0.04562
5995,0.04562,0.04562
6005,0.04562,0.04562
6015,0.04562,0.04562
6025,0.04562,0.04562
6035,0.04562,0.04562
6045,0.04562,0.04562
6055,0.04562,0.04562
6065,0.04562,0.04562
6075,0.04562,0.04562
6085,0.04562,0.04562
6095,0.04562,0.04562
6105,0.04562,0.04562
6115,0.04562,0.04562
6125,0.04562,0.04562
6135,0.04562,0.04562
6145,0.04562,0.04562
6155,0.04562,0.04562
6165,0.04562,0.04562
6175,0.04562,0.04562
6185,0.04562,0.04562
6195,0.04562,0.04562
6205,0.04562,0.04562
6215,0.04562,0.04562
6225,0.04562,0.04562
6235,0.04562,0.04562
6245,0.04562,0.04562
6255,0.04562,0.04562
6265,0.04562,0.04562
6275,0.04562,0.04562
6285,0.04562,0.04562
6295,0.04562,0.04562
6305,0.04562,0.04562
6315,0.04562,0.04562
6325,0.04562,0.04562
6335,0.04562,0.04562
6345,0.04562,0.04562
6355,0.04562,0.04562
6365,0.04562,0.04562
6375,0.04562,0.04562
6385,0.04562,0.04562
6395,0.04562,0.04562
6405,0.04562,0.04562
6415,0.04562,0.04562
6425,0.04562,0.04562
6435,0.04562,0.04562
6445,0.04562,0.04562
6455,0.04562,0.04562
6465,0.04562,0.04562
6475,0.02003,0.02003
6485,0.02003,0.02003
6495,0.02003,0.02003
6505,0.02003,0.02003
6515,0.02003,0.02003
6525,0.02003,0.02003
6535,0.02003,0.02003
6545,0.02003,0.02003
6555,0.02003,0.02003
6565,0.02003,0.02003
6575,0.02003,0.02003
6585,0.02003,0.02003
6595,0.02003,0.02003
6605,0.02003,0.02003
6615,0.02003,0.02003
6625,0.02003,0.02003
6635,0.02003,0.02003
6645,0.02003,0.02003
6655,0.02003,0.02003
6665,0.02003,0.02003
6675,0.02003,0.02003
6685,0.02003,0.02003
6695,0.02003,0.02003
6705,0.02003,0.02003
6715,0.02003,0.02003
6725,0.02003,0.02003
6735,0.02003,0.02003
6745,0.02003,0.02003
6755,0.02003,0.02003
6765,0.02003,0.02003
6775,0.02003,0.02003
6785,0.02003,0.02003
6795,0.02003,0.02003
6805,0.02003,0.02003
6815,0.02003,0.02003
6825,0.02003,0.02003
6835,0.02003,0.02003
6845,0.02003,0.02003
6855,0.02003,0.02003
6865,0.02003,0.02003
6875,0.02003,0.02003
6885,0.02003,0.02003
6895,0.02003,0.02003
6905,0.02003,0.02003
6915,0.02003,0.02003
6925,0.02003,0.02003
6935,0.02003,0.02003
6945,0.02003,0.02003
6955,0.02003,0.02003
6965,0.02003,0.02003
6975,0.02003,0.02003
6985,0.02003,0.02003
6995,0.02003,0.02003
7005,0.02003,0.02003
7015,0.02003,0.02003
7025,0.02003,0.02003
7035,0.02003,0.02003
7045,0.02003,0.02003
7055,0.02003,0.02003
7065,0.02003,0.02003
7075,0.02003,0.02003
7085,0.02003,0.02003
7095,0.02003,0.02003
7105,0.02003,0.02003
7115,0.02003,0.02003
7125,0.02003,0.02003
7135,0.02003,0.02003
7145,0.02003,0.02003
7155,0.02003,0.02003
7165,0.02003,0.02003
7175,0.02003,0.02003
7185,0.02003,0.02003
7195,0.02003,0.02003
7205,0.02003,0.02003
7215,0.02003,0.02003
7225,0.02003,0.02003
7235,0.02003,0.02003
7245,0.02003,0.02003
7255,0.02003,0.02003
7265,0.02003,0.02003
7275,0.02003,0.02003
7285,0.02003,0.02003
7295,0.02003,0.02003
7305,0.02003,0.02003
7315,0.02003,0.02003
7325,0.02003,0.02003
7335,0.02003,0.02003
7345,0.02003,0.02003
7355,0.02003,0.02003
7365,0.02003,0.02003
7375,0.02003,0.02003
7385,0.02003,0.02003
7395,0.02003,0.02003
7405,0.02003,0.02003
7415,0.02003,0.02003
7425,0.02003,0.02003
7435,0.02003,0.02003
7445,0.02003,0.02003
7455,0.02003,0.02003
7465,0.02003,0.02003
7475,0.02003,0.02003
7485,0.02003,0.02003
7495,0.02003,0.02003
7505,0.02003,0.02003
7515,0.02003,0.02003
7525,0.02003,0.02003
7535,0.02003,0.02003
7545,0.02003,0.02003
7555,0.02003,0.02003
7565,0.02003,0.02003
7575,0.02003,0.02003
7585,0.02003,0.02003
7595,0.02003,0.02003
7605,0.02003,0.02003
7615,0.02003,0.02003
7625,0.02003,0.02003
7635,0.02003,0.02003
7645,0.02003,0.02003
7655,0.02003,0.02003
7665,0.02003,0.02003
7675,0.02003,0.02003
7685,0.02003,0.02003
7695,0.02003,0.02003
7705,0.02003,0.02003
7715,0.02003,0.02003
7725,0.02003,0.02003
7735,0.02003,0.02003
7745,0.02003,0.02003
7755,0.02003,0.02003
7765,0.02003,0.02003
7775,0.02003,0.02003
7785,0.02003,0.02003
7795,0.02003,0.02003
7805,0.02003,0.02003
7815,0.02003,0.02003
7825,0.02003,0.02003
7835,0.02003,0.02003
7845,0.02003,0.02003
7855,0.02003,0.02003
7865,0.02003,0.02003
7875,0.02003,0.02003
7885,0.02003,0.02003
7895,0.02003,0.02003
7905,0.02003,0.02003
7915,0.02003,0.02003
7925,0.02003,0.02003
7935,0.02003,0.02003
7945,0.02003,0.02003
7955,0.02003,0.02003
7965,0.02003,0.02003
7975,0.02003,0.02003
7985,0.02003,0.02003
7995,0.02003,0.02003
8005,0.02003,0.02003
8015,0.02003,0.02003
8025,0.02003,0.02003
8035,0.02003,0.02003
8045,0.02003,0.02003
8055,0.02003,0.02003
8065,0.02003,0.02003
8075,0.02003,0.02003
8085,0.02003,0.02003
8095,0.02003,0.02003
8105,0.02003,0.02003
8115,0.02003,0.02003
8125,0.02003,0.02003
8135,0.02003,0.02003
8145,0.02003,0.02003
8155,0.02003,0.02003
8165,0.02003,0.02003
8175,0.02003,0.02003
8185,0.02003,0.02003
8195,0.02003,0.02003
8205,0.02003,0.02003
8215,0.02003,0.02003
8225,0.02003,0.02003
8235,0.02003,0.02003
8245,0.02003,0.02003
8255,0.02003,0.02003
8265,0.02003,0.02003
8275,0.02003,0.02003
8285,0.02003,0.02003
8295,0.02003,0.02003
8305,0.02003,0.02003
8315,0.02003,0.02003
8325,0.00781,0.00781
8335,0.00781,0.00781
8345,0.00781,0.00781
8355,0.00781,0.00781
8365,0.00781,0.00781
8375,0.00781,0.00781
8385,0.00781,0.00781
8395,0.00781,0.00781
8405,0.00781,0.00781
8415,0.00781,0.00781
8425,0.00781,0.00781
8435,0.00781,0.00781
8445,0.00781,0.00781
8455,0.00781,0.00781
8465,0.00781,0.00781
8475,0.00781,0.00781
8485,0.00781,0.00781
8495,0.00781,0.00781
8505,0.00781,0.00781
8515,0.00781,0.00781
8525,0.00781,0.00781
8535,0.00781,0.00781
8545,0.00781,0.00781
8555,0.00781,0.00781
8565,0.00781,0.00781
8575,0.00781,0.00781
8585,0.00781,0.00781
8595,0.00781,0.00781
8605,0.00781,0.00781
8615,0.00781,0.00781
8625,0.00781,0.00781
8635,0.00781,0.00781
8645,0.00781,0.00781
8655,0.00781,0.00781
8665,0.00781,0.00781
8675,0.00781,0.00781
8685,0.00781,0.00781
8695,0.00781,0.00781
8705,0.00781,0.00781
8715,0.00781,0.00781
8725,0.00781,0.00781
8735,0.00781,0.00781
8745,0.00781,0.00781
8755,0.00781,0.00781
8765,0.00781,0.00781
8775,0.00781,0.00781
8785,0.00781,0.00781
8795,0.00781,0.00781
8805,0.00781,0.00781
8815,0.00781,0.00781
8825,0.00781,0.00781
